magnitude,score,album_title,track_title,lyrics
2.2,0.4,please please me,Do You Want to Know a Secret,"You'll never know how much I really love you
You'll never know how much I really care
Listen
Do you want to know a secret?
Do you promise not to tell?, whoa oh, oh
Closer
Let me whisper in your ear
Say the words you long to hear
I'm in love with you
Listen
Do you want to know a secret?
Do you promise not to tell?, whoa oh, oh
Closer
Let me whisper in your ear
Say the words you love to hear
I'm in love with you
I've known the secret for a week or two
Nobody knows, just we two
Listen
Do you want to know a secret?
Do you promise not to tell?, whoa oh, oh
Closer
Let me whisper in your ear
Say the words you love to hear
I'm in love with you"
1.8,0.4,please please me,A Taste of Honey,"A taste of honey! Tasting much sweeter than wine
I dream of your first kiss, and then
I feel upon my lips again
A taste of honey! Tasting much sweeter than wine
I will return, yes I will return
I'll come back for the honey and you
Yours was the kiss that awoke my heart
There lingers still, though we're far apart
That taste of honey! Tasting much sweeter than wine
I will return, yes I will return
I'll come back (he'll come back) for the honey (for the honey) and you"
0.6,0.3,please please me,There's a Place,"There is a place
Where I can go
When I feel low
When I feel blue
And it's my mind
And there's no time when I'm alone
I think of you
And things you do
Go round my head
The things you said
Like ""I love only you.""
In my mind there's no sorrow
Don't you know that it's so
There will be no sad tomorrow
Don't you know that it's so
There is a place
Where I can go
When I feel low
When I feel blue
And it's my mind
And there's no time when I'm alone"
1,0.5,please please me,Twist and Shout,"Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon C'mon, C'mon, C'mon, baby, now (Come on baby)
Come on and work it on out (Work it on out)
Well, work it on out, honey (Work it on out)
You know you look so good (Look so good)
You know you got me goin', now (Got me goin')
Just like I knew you would (Like I knew you would)
Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon C'mon, C'mon, C'mon, baby, now (Come on baby)
Come on and work it on out (Work it on out)
You know you twist your little girl (Twist, little girl)
You know you twist so fine (Twist so fine)
Come on and twist a little closer, now (Twist a little closer)
And let me know that you're mine (Let me know you're mine)
Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon C'mon, C'mon, C'mon, baby, now (Come on baby)
Come on and work it on out (Work it on out)
You know you twist your little girl (Twist, little girl)
You know you twist so fine (Twist so fine)
Come on and twist a little closer, now (Twist a little closer)
And let me know that you're mine (Let me know you're mine)
Well, shake it, shake it, shake it, baby, now (Shake it up baby)
Well, shake it, shake it, shake it, baby, now (Shake it up baby)
Well, shake it, shake it, shake it, baby, now (Shake it up baby)"
0.3,0,with the beatles,It Won't Be Long,"It won't be long yeah, yeah, yeah
It won't be long yeah, yeah, yeah
It won't be long yeah, till I belong to you
Every night when everybody has fun
Here am I sitting all on my own
It won't be long yeah, yeah, yeah
It won't be long yeah, yeah, yeah
It won't be long yeah, till I belong to you
Since you left me, I'm so alone
Now you're coming, you're coming on home
I'll be good like I know I should
You're coming home, you're coming home
Every night the tears come down from my eyes
Every day I've done nothing but cry
It won't be long yeah, yeah, yeah
It won't be long yeah, yeah, yeah
It won't be long yeah, till I belong to you
Since you left me, I'm so alone
Now you're coming, you're coming on home
I'll be good like I know I should
You're coming home, you're coming home
So every day we'll be happy I know
Now I know that you won't leave me no more
It won't be long yeah, yeah, yeah
It won't be long yeah, yeah, yeah
It won't be long yeah, till I belong to you"
0.5,-0.5,with the beatles,All I've Got to Do,"Whenever I want you around yeah
All I got to do
Is call you on the phone
And you'll come running home
Yeah that's all I got to do
And when I, I want to kiss you yeah
All I got to do
Is whisper in your ear
The words you long to hear
And I'll be kissin you
And the same goes for me
Whenever you want me at all
I'll be here yes I will
Whenever you call
You just got to call on me, yeah
You just got to call on me
And when I, I want to kiss you, yeah
All I got to do
Is call you on the phone
And you'll come runnin home
Yeah, that's all I gotta do
And the same goes for me
Whenever you want me at all
I'll be here yes I will
Whenever you call
You just got to call on me, yeah
You just got to call on me"
0.9,0.9,with the beatles,All My Loving,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home everyday
And I'll send all my loving to you
I'll pretend that I'm kissing
The lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home every day
And I'll send all my loving to you
All my loving I will send to you
All my loving, darling I'll be true
Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home everyday
And I'll send all my loving to you
All my loving I will send to you
All my loving, darling I'll be true
All my loving, all my loving ooh
All my loving I will send to you"
0.8,-0.8,with the beatles,Don't Bother Me,"Since she's been gone
I want no one
To talk to me
It's not the same
But I'm to blame
It's plain to see
So go away and leave me alone
Don't bother me
I can't believe
That she would leave
Me on my own
It's just not right
Where every night
I'm all alone
I've got no time for you right now
Don't bother me
I know I'll never be the same
If I don't get her back again
Because I know she'll always be
The only girl for me
But till she's here
Please don't come near
Just stay away
I'll let you know
When she's come home
Until that the day
Don't come around leave me alone
Don't bother me
I've got no time for you right now
Don't bother me
I know I'll never be the same
If I don't get her back again
Because I know she'll always be
The only girl for me
But till she's here
Please don't come near
Just stay away
I'll let you know
When she's come home
Until that the day
Don't come around leave me alone
Don't bother me"
2.2,-0.3,with the beatles,Little Child,"Little child, little child
Little child, won't you dance with me?
I'm so sad and lonely
Baby take a chance with me
Little child, little child
Little child, won't you dance with me?
I'm so sad and lonely
Baby take a chance with me
If you want someone
To make you feel so fine
Then we'll have some fun
When you're mine, all mine
So come, come on, come on
Little child, little child
Little child, won't you dance with me?
I'm so sad and lonely
Baby take a chance with me
When you're by my side
You're the only one
Don't you run and hide
Just come on, come on
So come on, come on, come on
Little child, little child
Little child, won't you dance with me?
I'm so sad and lonely
Baby take a chance with me"
0.5,-0.5,with the beatles,Till There Was You,"There were bells on a hill
But I never heard them ringing
No, I never heard them at all
Till there was you
There were birds in the sky
But I never saw them winging
No, I never saw them at all
Till there was you
Then there was music and wonderful roses
They tell me in sweet fragrant meadows
Of dawn and dew
There was love all around
But I never heard it singing
No, I never heard it at all
Till there was you
Then there was music and wonderful roses
They tell me in sweet fragrant meadows
Of dawn and dew
There was love all around
But I never heard it singing
No, I never heard it at all
Till there was you"
4.9,0,with the beatles,Please Mister Postman,"(Wait!)
Oh yes, wait a minute mister postman
(Wait!)
Wai-, hey, hey, h-ait, Mr. Postman
(Mister postman, look and see)
Oh yeah!
(Is there a letter in your bag for me)
Please, please, mr. po-, oh, -ostman
(I've been waiting and waste my time)
Oh yeah!
(Since I heard from that girl of mine)
There must be some words and days
From my girlfriend so far away
Please, Mister postman look and see
If there's a letter, a letter for me
I've been standing here waiting, Mister postman
So patiently
For just a card or just a letter
Saying she's returning home to me
Please, Mister postman!
(Mister postman, look and see)
Oh yeah!
(Is there a letter in your bag for me)
Please, please, mr. po-, oh, -ostman
(I've been waiting and lost my time)
Oh yeah!
(Since I heard from that girl of mine)
So many days you passed me by
See the tear standing in my eye
You didn't stop to make me feel better
By leaving me a card or a letter
Mister postman!
(Mister postman, look and see)
Look and see
If there's a letter, oh yeah, for me
(Is there a letter in your bag for me)
I've been waiting such a long time
(I've been waiting and lost my time)
Since I heard from that girlfriend of mine
(Since I heard from that girl of mine)
You gotta wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah!
(Mister Postman)
Wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah, you got to
(Mister Postman)
Wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah!
(Mister Postman)
Check it and see
One more time for me
You gotta wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah!
(Mister Postman)
Wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah!
(Mister Postman)
Mister po-, oh, -ostman
(Wait a minute, wait a minute)
Oh yeah
(Mister postman)
Deliver the letter, the sooner the bet-
You gotta wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah!
(Mister Postman)
Wait a minute, wait a minute
(Wait a minute, wait a minute)
Ooh! (Oh yeah!) You gotta
(Mister Postman)
Wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah
(Mister postman)
Gotta wait a minute, wait a minute
(Wait a minute, wait a minute)
Aah! (Oh yeah!) You gotta
Wait, wait a minute
(Oh yeah, ooh!)"
0.7,0.7,with the beatles,Roll Over Beethoven,"Well, gonna write a little letter
Gonna mail it to my local DJ
It's a rocking little record
I want my jockey to play
Roll over Beethoven
Gotta hear it again today
You know my temperature's rising
And the jukebox blows a fuse
My heart's beating rhythm
And my soul keeps singing the blues
Roll over Beethoven
And tell Tchaikovsky the news
I got a rocking pneumonia
I need a shot of rhythm and blues (
Woo
I think I caught the arthritis
Sitting down by the rhythm revue
Roll over Beethoven
Rocking in two by two
Well if you feel it and like it
Well get your lover and reel and rock it
Roll it over and move on up
Just a trifle further and reel and rock it
Roll it over
Roll over Beethoven
Rocking in two by two (
Woo
Well early in the morning
I'm a-giving you the warning
Don't you step on my blue suede shoes
Hey diddle diddle
I'll play my fiddle
Ain't got nothing to lose
Roll over Beethoven
And tell Tchaikovsky the news
You know she wiggles like a glow worm
Dance like a spinning top
She's got a crazy partner
Oughta see 'em reel and rock
Long as she got a dime
The music will never stop
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Dig to these rhythm and blues"
0.5,0.5,with the beatles,Hold Me Tight,"It feels so right now, hold me tight
Tell me I'm the only one
And then I might
Never be the lonely one
So hold me tight, tonight, tonight
It's you, you you you oooo oooo
Hold me tight
Let me go on loving you
Tonight tonight
Making love to only you
So hold me tight, tonight, tonight
It's you, you you you oooo oooo
Don't know what it means to hold you tight
Being here alone tonight with you
It feels so right now, feels so right now
Hold me tight
Let me go on loving you
Tonight tonight
Making love to only you
So hold me tight, tonight, tonight
It's you, you you you oooo oooo
Don't know what it means to hold you tight
Being here alone tonight with you
It feels so right now, feels so right now
Hold me tight
Let me go on loving you
Tonight tonight
Making love to only you
So hold me tight, tonight, tonight
It's you, you you you oooo oooo"
0.3,0.3,with the beatles,You Really Got a Hold on Me,"I don't like you
But I love you
Seems that I'm always
Thinking of you
Oh, oh, oh
You treat me badly
I love you madly
You've really got a hold on me
You've really got a hold on me, baby
I don't want you
But I need you
Don't want to kiss you
But I need to
Oh, oh, oh
You do me wrong now
My love is strong now
You've really got a hold on me
You've really got a hold on me, baby
I love you and all I want you to do
Is just hold me, hold me, hold me, hold me
Tighter
Tighter
I want to leave you
Don't want to stay here
Don't want to spend
Another day here
Oh, oh, oh, I want to split now
I just can't quit now
You've really got a hold on me
You've really got a hold on me, baby
I love you and all I want you to do
Is just hold me (please)
Hold me (squeeze)
Hold me
Hold me
You've really got a hold on me
You've really got a hold on me"
0.8,0.8,with the beatles,I Wanna Be Your Man,"I want to be your lover baby
I want to be your man
I want to be your lover baby
I want to be your man
Love you like no other baby
Like no other can
Love you like no other baby
Like no other can
I want to be your man, I want to be your man
I want to be your man, I want to be your man
Tell me that you love me baby
Let me understand
Tell me that you love me baby
I want to be your man
I want to be your lover baby
I want to be your man
I want to be your lover baby
I want to be your man
I want to be your man, I want to be your man
I want to be your man, I want to be your man
I want to be your lover baby
I want to be your man
I want to be your lover baby
I want to be your man
Love you like no other baby
Like no other can
Love you like no other baby
Like no other can
I want to be your man, I want to be your man
I want to be your man, I want to be your man"
0.3,-0.3,with the beatles,Devil in Her Heart,"She's got the devil in her heart
But her eyes they tantalize
She's going to tear your heart apart
Oh her lips they really thrill me
I'll take my chances
For romance is
So important to me
She'll never hurt me
She won't desert me
She's an angel sent to me
She's got the devil in her heart
No, no, this I can't believe
She's going to tear your heart apart
No, no way will she deceive
I can't believe that she'll ever ever go
Not when she hugs me or says she loves me so
She'll never hurt me
She won't desert me
Listen can't you see
She's got the devil in her heart
No, no, this I can't believe
She's going to tear your heart apart
No, no way will she deceive
Don't take chances if your romance is
So important to you
She'll never hurt me
She won't desert me
She's an angel sent to me
She's got the devil in her heart
No, no, this I can't believe
She's going to tear your heart apart
No, no way will she deceive
She's got the devil in her heart
No she's an angel sent to me
She's got the devil in her heart
No she's an angel sent to me"
0.5,-0.5,with the beatles,Not a Second Time,"You know you made me cry
I see no use in wondering why
I cry for you
And now you've changed your mind
I see no reason to change mine
I cry it's through, oh
You're giving me the same old line
I'm wondering why
You hurt me then
You're back again
No, no, no, not a second time
You know you made me cry
I see no use in wondering why
I cry for you
And now you've changed your mind
I see no reason to change mine
I cry it's through, oh
You're giving me the same old line
I'm wondering why
You hurt me then
You're back again
No, no, no, not a second time"
0.6,0.6,with the beatles,Money (That's What I Want),"The best things in life are free
But you can keep them for the birds and bees
Now give me money
That's what I want
That's what I want, yeah
That's what I want
Your loving gives me a thrill
But your loving don't pay my bills
Now give me money
That's what I want
That's what I want, yeah
That's what I want
Money don't get everything it's true
What it don't get, I can't use
Now give me money
That's what I want
That's what I want, yeah
That's what I want, wah
Money don't get everything it's true
What it don't get, I can't use
Now give me money
That's what I want
That's what I want, yeah
That's what I want, wah
Well now give me money
A lot of money
Wow, yeah, I want to be free
Oh a lot of money
That's what I want
That's what I want, well
Now give me money
A lot of money
Wow, yeah, you need money
Now, give me money
That's what I want, yeah
That's what I want"
0.3,0.1,a hard day's night,A Hard Day's Night,"It's been a hard day's night
And I've been working like a dog
It's been a hard day's night
I should be sleeping like a log
But when I get home to you
I find the things that you do
Will make me feel alright
You know I work all day
To get you money to buy you things
And it's worth it just to hear you say
You're going to give me everything
So why on earth should I moan
Because when I get you alone
You know I feel okay
When I'm home everything seems to be right
When I'm home feeling you holding me tight, tight, yeh
It's been a hard day's night
And I've been working like a dog
It's been a hard day's night
I should be sleeping like a log
But when I get home to you
I find the things that you do
Will make me feel alright
Ah!
So why on Earth should I moan
'Cause when I get you alone
You know I feel okay
When I'm home everything seems to be right
When I'm home feeling  you holding me tight, tight, yeh
It's been a hard day's night
And I've been working like a dog
It's been a hard day's night
I should be sleeping like a log
But when I get home to you
I find the things that you do
Will make me feel alright
You know I feel alright
You know I feel alright"
0.2,0.2,a hard day's night,I Should Have Known Better,"I should have known better with a girl like you
That I would love everything that you do
And I do, hey, hey, hey, and I do
Whoa, oh, I never realized what a kiss could be
This could only happen to me
Can't you see, can't you see
That when I tell you that I love you, oh
You're going to say you love me too, oh
And when I ask you to be mine
You're going to say you love me too
So I should have realized a lot of things before
If this is love you've got to give me more
Give me more, hey hey hey, give me more
Whoa, oh, I never realized what a kiss could be
This could only happen to me
Can't you see, can't you see
That when I tell you that I love you, oh
You're going to say you love me too, oh
And when I ask you to be mine
You're going to say you love me too
You love me too, you love me too
You love me too"
0.1,0.1,a hard day's night,If I Fell,"If I fell in love with you
Would you promise to be true
And help me understand
Cause I've been in love before
And I found that love was more
Than just holding hands
If I give my heart to you
I must be sure
From the very start
That you would love me more than her
If I trust in you oh please
Don't run and hide
If I love you too oh please
Don't hurt my pride like her
Cause I couldn't stand the pain
And I would be sad if our new love was in vain
So I hope you see that I
Would love to love you
And that she will cry
When she learns we are two
Cause I couldn't stand the pain
And I would be sad if our new love was in vain
So I hope you see that I
Would love to love you
And that she will cry
When she learns we are two
If I fell in love with you"
0.5,0.5,a hard day's night,I'm Happy Just to Dance with You,"Before this dance is through
I think I'll love you too
I'm so happy when you dance with me
I don't want to kiss or hold your hand
If it's funny try and understand
There is really nothing else I'd rather do
Because I'm happy just to dance with you
I don't need to hug or hold you tight
I just want to dance with you all night
In this world there's nothing I would rather do
Because I'm happy just to dance with you
Just to dance with you
It's everything I need
Before this dance is through
I think I'll love you too
I'm so happy when you dance with me
If somebody tries to take my place
Let's pretend we just can't see his face
In this world there's nothing I would rather do
Because I'm happy just to dance with you
Just to dance with you
It's everything I need
Before this dance is through
I think I'll love you too
I'm so happy when you dance with me
If somebody tries to take my place
Let's pretend we just can't see his face
In this world there's nothing I would rather do
I've discovered I'm in love with you
Because I'm happy just to dance with you"
0.9,0.9,a hard day's night,And I Love Her,"I give her all my love
That's all I do
And if you saw my love
You'd love her too
I love her
She gives me everything
And tenderly
The kiss my lover brings
She brings to me
And I love her
A love like ours
Could never die
As long as I
Have you near me
Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die
And I love her
Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die
And I love her"
0.8,-0.8,a hard day's night,Tell Me Why,"Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me
Well I gave you everything I had
But you left me sitting on my own
Did you have to treat me oh so bad
All I do is hang my head and moan
Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me
If there's something I have said or done
Tell me what and I'll apologize
If you don't really can't go on
Holding back these tears in my eyes
Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me
Well I beg you on my bended knees
If you'll only listen to my pleas
Is there anything I can do
Cos I really can't stand it, I'm so in love with you
Tell me why you cried, and why you lied to me
Tell me why you cried, and why you lied to me"
0.1,0,a hard day's night,Can't Buy Me Love,"Can't buy me love, love
Can't buy me love
I'll buy you a diamond ring my friend
If it makes you feel alright
I'll get you anything my friend
If it makes you feel alright
Because I don't care too much for money
Money can't buy me love
I'll give you all I got to give
If you say you love me too
I may not have a lot to give
But what I got I'll give to you
I don't care too much for money
Money can't buy me love
Can't buy me love, everybody tells me so
Can't buy me love, no no no, no
Say you don't need no diamond rings
And I'll be satisfied
Tell me that you want the kind of thing
That money just can't buy
I don't care too much for money
Money can't buy me love
Ah!
Buy me love, everybody tells me so
Can't buy me love
Say you don't need no diamond ring
And I'll be satisfied
Tell me that you want the kind of thing
That money just can't buy
I don't care too much for money
Money can't buy me love
Can't buy me love, love
Can't buy me love"
0.7,-0.7,a hard day's night,Any Time at All,"Any time at all, any time at all
Any time at all, all you've gotta do is call and I'll be there
If you need somebody to love
Just look into my eyes
I'll be there to make you feel right
If you're feeling sorry and sad
I'd really sympathize
Don't you be sad, just call me tonight
Any time at all, any time at all
Any time at all, all you've gotta do is call and I'll be there
If the sun has faded away
I'll try to make it shine
There's nothing I won't do
When you need a shoulder to cry on
I hope it will be mine
Call me tonight, and I'll come to you
Any time at all, any time at all
Any time at all, all you've gotta do is call and I'll be there
Any time at all, any time at all
Any time at all, all you've gotta do is call and I'll be there
Any time at all, any time at all
Any time at all, all you've gotta do is call and I'll be there"
0.7,-0.3,a hard day's night,I'll Cry Instead,"I've got every reason on earth to be mad
Cause I've just lost the only girl I had
If I could get my way
I'd get myself locked up today
But I can't so I'll cry instead
I've got a chip on my shoulder that's bigger than my feet
I can't talk to people that I meet
If I could see you now
I'd try to make you sad somehow
But I can't so I'll cry instead
Don't wanna cry when there's people there
I get shy when they start to stare
I'm gonna hide myself away-ay
But I'll come back again someday
And when I do you better hide all the girls
I'm gonna break their hearts all 'round the world
Yes, I'm gonna break 'em in two
And show you what your loving man can do
Until then I'll cry instead
Don't wanna cry when there's people there
I get shy when they start to stare
I'm gonna hide myself away-ay
But I'll come back again someday
And when I do you better hide all the girls
I'm gonna break their hearts all 'round the world
Yes, I'm gonna break 'em in two
And show you what your loving man can do
Until then I'll cry instead"
1.7,0.8,a hard day's night,Things We Said Today,"You say you will love me
If I have to go
You'll be thinkin' of me
Somehow I will know
Someday when I'm lonely
Wishing you weren't so far away
Then I will remember
Things we said today
You say you'll be mine, girl
Till the end of time
These days such a kind girl
Seems so hard to find
Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
Things we said today
Me, I'm just the lucky kind
Love to hear you say that love is luck
And, though we may be blind
Love is here to stay and that's enough
To make you mine, girl
Be the only one
Love me all the time, girl
We'll go on and on
Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
Things we said today
Me, I'm just the lucky kind
Love to hear you say that love is luck
And, though we may be blind
Love is here to stay. And that's enough
To make you mine, girl
Be the only one
Love me all the time, girl
We'll go on and on
Someday when we're dreaming
Deep in love, not a lot to say
Then we will remember
Things we said today"
0.2,-0.2,a hard day's night,When I Get Home,"Whoa-I, whoa-I
I got a whole lot of things to tell her
When I get home
Come on, out of my way
Cos I'm going to see my baby today
I've got a whole lot of things I've gotta say
To her
Whoa-I, whoa-I
I got a whole lot of things to tell her
When I get home
Come on if you please
I've got no time for trivialities
I've got a girl who's waiting home for me tonight
Whoa-I, whoa-I
I got a whole lot of things to tell her
When I get home
When I'm getting home tonight
I'm going to hold her tight
I'm going to love her till the cows come home
I bet I'll love her more
Till I walk out that door
Again
Come on, let me through
I've got so many things I've got to do
I've got no business being here with you
This way
Whoa-I, whoa-I
I got a whole lot of things to tell her
When I get home
Whoa-I, whoa-I
I got a whole lot of things to tell her
When I get home"
